seqName,sampleDate,seqId,location,clade,pangoLineages,nextStrainClade,whoClade
hCoV-19/Shanghai/SJTU-235302/2022|EPI_ISL_16327486|2022-12-05,2022-12-05,EPI_ISL_16327486,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-235305/2022|EPI_ISL_16327487|2022-12-05,2022-12-05,EPI_ISL_16327487,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-235306/2022|EPI_ISL_16327488|2022-12-04,2022-12-04,EPI_ISL_16327488,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235307/2022|EPI_ISL_16327489|2022-12-08,2022-12-08,EPI_ISL_16327489,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235311/2022|EPI_ISL_16327490|2022-12-04,2022-12-04,EPI_ISL_16327490,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235314/2022|EPI_ISL_16327491|2022-12-02,2022-12-02,EPI_ISL_16327491,Shanghai,22B (Omicron),BF.7,22B,Omicron
hCoV-19/Shanghai/SJTU-235315-2/2022|EPI_ISL_16327492|2022-12-08,2022-12-08,EPI_ISL_16327492,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-235316/2022|EPI_ISL_16327493|2022-12-05,2022-12-05,EPI_ISL_16327493,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-235319/2022|EPI_ISL_16327494|2022-12-04,2022-12-04,EPI_ISL_16327494,Shanghai,22B (Omicron),BA.5.9,22B,Omicron
hCoV-19/Shanghai/SJTU-235321/2022|EPI_ISL_16327495|2022-12-05,2022-12-05,EPI_ISL_16327495,Shanghai,22D (Omicron),BN.1,22D,Omicron
hCoV-19/Shanghai/SJTU-235325/2022|EPI_ISL_16327496|2022-12-03,2022-12-03,EPI_ISL_16327496,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235327/2022|EPI_ISL_16327497|2022-12-07,2022-12-07,EPI_ISL_16327497,Shanghai,22B (Omicron),BA.5.2.1,22B,Omicron
hCoV-19/Shanghai/SJTU-235328/2022|EPI_ISL_16327498|2022-12-03,2022-12-03,EPI_ISL_16327498,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235346/2022|EPI_ISL_16327499|2022-12-05,2022-12-05,EPI_ISL_16327499,Shanghai,22E (Omicron),BQ.1.14,22E,Omicron
hCoV-19/Shanghai/SJTU-235353/2022|EPI_ISL_16327500|2022-12-05,2022-12-05,EPI_ISL_16327500,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-235412/2022|EPI_ISL_16327501|2022-12-04,2022-12-04,EPI_ISL_16327501,Shanghai,22B (Omicron),BA.5.2.1,22B,Omicron
hCoV-19/Shanghai/SJTU-235418/2022|EPI_ISL_16327502|2022-12-02,2022-12-02,EPI_ISL_16327502,Shanghai,22B (Omicron),BE.1.1,22B,Omicron
hCoV-19/Shanghai/SJTU-235428/2022|EPI_ISL_16327503|2022-12-03,2022-12-03,EPI_ISL_16327503,Shanghai,22E (Omicron),BQ.1.13.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235447/2022|EPI_ISL_16327504|2022-12-04,2022-12-04,EPI_ISL_16327504,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235460/2022|EPI_ISL_16327505|2022-12-04,2022-12-04,EPI_ISL_16327505,Shanghai,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Shanghai/SJTU-235461/2022|EPI_ISL_16327506|2022-12-01,2022-12-01,EPI_ISL_16327506,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235462/2022|EPI_ISL_16327507|2022-12-02,2022-12-02,EPI_ISL_16327507,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-235480/2022|EPI_ISL_16327508|2022-12-01,2022-12-01,EPI_ISL_16327508,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235483/2022|EPI_ISL_16327509|2022-12-09,2022-12-09,EPI_ISL_16327509,Shanghai,22F (Omicron),XBB.1.4.1,22F,Omicron
hCoV-19/Shanghai/SJTU-235538/2022|EPI_ISL_16327510|2022-12-08,2022-12-08,EPI_ISL_16327510,Shanghai,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Shanghai/SJTU-235544/2022|EPI_ISL_16327511|2022-12-05,2022-12-05,EPI_ISL_16327511,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-235557/2022|EPI_ISL_16327512|2022-12-05,2022-12-05,EPI_ISL_16327512,Shanghai,22E (Omicron),BQ.1.2,22E,Omicron
hCoV-19/Shanghai/SJTU-235580/2022|EPI_ISL_16327513|2022-12-10,2022-12-10,EPI_ISL_16327513,Shanghai,22B (Omicron),BF.7.12,22B,Omicron
hCoV-19/Shanghai/SJTU-235607/2022|EPI_ISL_16327514|2022-12-10,2022-12-10,EPI_ISL_16327514,Shanghai,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Shanghai/SJTU-235613/2022|EPI_ISL_16327515|2022-12-05,2022-12-05,EPI_ISL_16327515,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235614/2022|EPI_ISL_16327516|2022-12-05,2022-12-05,EPI_ISL_16327516,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235615/2022|EPI_ISL_16327517|2022-12-12,2022-12-12,EPI_ISL_16327517,Shanghai,22B (Omicron),BA.5.2.49,22B,Omicron
hCoV-19/Shanghai/SJTU-235616/2022|EPI_ISL_16327518|2022-12-13,2022-12-13,EPI_ISL_16327518,Shanghai,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Shanghai/SJTU-235618/2022|EPI_ISL_16327519|2022-12-07,2022-12-07,EPI_ISL_16327519,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235621/2022|EPI_ISL_16327520|2022-12-06,2022-12-06,EPI_ISL_16327520,Shanghai,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Shanghai/SJTU-235813/2022|EPI_ISL_16327521|2022-12-13,2022-12-13,EPI_ISL_16327521,Shanghai,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Shanghai/SJTU-235817/2022|EPI_ISL_16327522|2022-12-07,2022-12-07,EPI_ISL_16327522,Shanghai,22B (Omicron),BW.1.1,22B,Omicron
hCoV-19/Shanghai/SJTU-235818/2022|EPI_ISL_16327523|2022-12-05,2022-12-05,EPI_ISL_16327523,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-235819/2022|EPI_ISL_16327524|2022-12-07,2022-12-07,EPI_ISL_16327524,Shanghai,22B (Omicron),BF.7.12,22B,Omicron
hCoV-19/Shanghai/SJTU-235825/2022|EPI_ISL_16327525|2022-12-09,2022-12-09,EPI_ISL_16327525,Shanghai,22F (Omicron),XBB.1,22F,Omicron
hCoV-19/Shanghai/SJTU-235831/2022|EPI_ISL_16327526|2022-12-10,2022-12-10,EPI_ISL_16327526,Shanghai,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Shanghai/SJTU-235833/2022|EPI_ISL_16327527|2022-12-04,2022-12-04,EPI_ISL_16327527,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235841/2022|EPI_ISL_16327528|2022-12-10,2022-12-10,EPI_ISL_16327528,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235846/2022|EPI_ISL_16327529|2022-12-10,2022-12-10,EPI_ISL_16327529,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-235853/2022|EPI_ISL_16327530|2022-12-05,2022-12-05,EPI_ISL_16327530,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235856/2022|EPI_ISL_16327531|2022-12-05,2022-12-05,EPI_ISL_16327531,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-235859/2022|EPI_ISL_16327532|2022-12-05,2022-12-05,EPI_ISL_16327532,Shanghai,22B (Omicron),BA.5.2.49,22B,Omicron
hCoV-19/Shanghai/SJTU-235862/2022|EPI_ISL_16327533|2022-12-04,2022-12-04,EPI_ISL_16327533,Shanghai,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Shanghai/SJTU-235864/2022|EPI_ISL_16327534|2022-12-06,2022-12-06,EPI_ISL_16327534,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235866/2022|EPI_ISL_16327535|2022-12-09,2022-12-09,EPI_ISL_16327535,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235868/2022|EPI_ISL_16327536|2022-12-09,2022-12-09,EPI_ISL_16327536,Shanghai,22E (Omicron),BQ.1.1.3,22E,Omicron
hCoV-19/Shanghai/SJTU-235869/2022|EPI_ISL_16327537|2022-12-09,2022-12-09,EPI_ISL_16327537,Shanghai,21L (Omicron),BA.2.3.20,21L,Omicron
hCoV-19/Shanghai/SJTU-235871/2022|EPI_ISL_16327538|2022-12-05,2022-12-05,EPI_ISL_16327538,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-235872/2022|EPI_ISL_16327539|2022-12-05,2022-12-05,EPI_ISL_16327539,Shanghai,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Shanghai/SJTU-235876/2022|EPI_ISL_16327540|2022-12-07,2022-12-07,EPI_ISL_16327540,Shanghai,22B (Omicron),BF.7,22B,Omicron
hCoV-19/Shanghai/SJTU-235877/2022|EPI_ISL_16327541|2022-12-10,2022-12-10,EPI_ISL_16327541,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-235878/2022|EPI_ISL_16327542|2022-12-09,2022-12-09,EPI_ISL_16327542,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-235879/2022|EPI_ISL_16327543|2022-12-08,2022-12-08,EPI_ISL_16327543,Shanghai,22E (Omicron),BQ.1.1.7,22E,Omicron
hCoV-19/Shanghai/SJTU-235882/2022|EPI_ISL_16327544|2022-12-09,2022-12-09,EPI_ISL_16327544,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-235884/2022|EPI_ISL_16327545|2022-12-04,2022-12-04,EPI_ISL_16327545,Shanghai,22B (Omicron),BA.5.2.49,22B,Omicron
hCoV-19/Shanghai/SJTU-235933/2022|EPI_ISL_16327546|2022-12-09,2022-12-09,EPI_ISL_16327546,Shanghai,22B (Omicron),BA.5.2.6,22B,Omicron
hCoV-19/Shanghai/SJTU-235935/2022|EPI_ISL_16327547|2022-12-09,2022-12-09,EPI_ISL_16327547,Shanghai,22E (Omicron),BQ.1.2,22E,Omicron
hCoV-19/Shanghai/SJTU-235980/2022|EPI_ISL_16327548|2022-12-09,2022-12-09,EPI_ISL_16327548,Shanghai,22F (Omicron),XBB.1,22F,Omicron
hCoV-19/Shanghai/SJTU-235981/2022|EPI_ISL_16327549|2022-12-13,2022-12-13,EPI_ISL_16327549,Shanghai,22F (Omicron),XBB.1,22F,Omicron
hCoV-19/Shanghai/SJTU-235985/2022|EPI_ISL_16327550|2022-12-09,2022-12-09,EPI_ISL_16327550,Shanghai,22F (Omicron),XBB.1,22F,Omicron
hCoV-19/Shanghai/SJTU-235986/2022|EPI_ISL_16327551|2022-12-06,2022-12-06,EPI_ISL_16327551,Shanghai,22F (Omicron),XBB.1,22F,Omicron
hCoV-19/Shanghai/SJTU-235988/2022|EPI_ISL_16327552|2022-12-10,2022-12-10,EPI_ISL_16327552,Shanghai,22D (Omicron),BN.1.1,22D,Omicron
hCoV-19/Shanghai/SJTU-235990/2022|EPI_ISL_16327553|2022-12-10,2022-12-10,EPI_ISL_16327553,Shanghai,22B (Omicron),BF.7.12,22B,Omicron
hCoV-19/Shanghai/SJTU-235999/2022|EPI_ISL_16327554|2022-12-13,2022-12-13,EPI_ISL_16327554,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236018/2022|EPI_ISL_16327555|2022-12-13,2022-12-13,EPI_ISL_16327555,Shanghai,22E (Omicron),BQ.1.1.18,22E,Omicron
hCoV-19/Shanghai/SJTU-236020/2022|EPI_ISL_16327556|2022-12-09,2022-12-09,EPI_ISL_16327556,Shanghai,22B (Omicron),BF.7,22B,Omicron
hCoV-19/Shanghai/SJTU-236023/2022|EPI_ISL_16327557|2022-12-08,2022-12-08,EPI_ISL_16327557,Shanghai,22A (Omicron),BA.4.6,22A,Omicron
hCoV-19/Shanghai/SJTU-236047/2022|EPI_ISL_16327558|2022-12-10,2022-12-10,EPI_ISL_16327558,Shanghai,22B (Omicron),BA.5.2.35,22B,Omicron
hCoV-19/Shanghai/SJTU-236048/2022|EPI_ISL_16327559|2022-12-12,2022-12-12,EPI_ISL_16327559,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-236060/2022|EPI_ISL_16327560|2022-12-10,2022-12-10,EPI_ISL_16327560,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-236063/2022|EPI_ISL_16327561|2022-12-10,2022-12-10,EPI_ISL_16327561,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-236137/2022|EPI_ISL_16327562|2022-12-11,2022-12-11,EPI_ISL_16327562,Shanghai,22F (Omicron),XBB,22F,Omicron
hCoV-19/Shanghai/SJTU-236143/2022|EPI_ISL_16327563|2022-12-12,2022-12-12,EPI_ISL_16327563,Shanghai,22B (Omicron),BA.5.2.1,22B,Omicron
hCoV-19/Shanghai/SJTU-236166/2022|EPI_ISL_16327564|2022-12-11,2022-12-11,EPI_ISL_16327564,Shanghai,22B (Omicron),BF.7,22B,Omicron
hCoV-19/Shanghai/SJTU-236169/2022|EPI_ISL_16327565|2022-12-10,2022-12-10,EPI_ISL_16327565,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-236175/2022|EPI_ISL_16327566|2022-12-10,2022-12-10,EPI_ISL_16327566,Shanghai,22B (Omicron),BA.5.2.1,22B,Omicron
hCoV-19/Shanghai/SJTU-236190/2022|EPI_ISL_16327567|2022-12-09,2022-12-09,EPI_ISL_16327567,Shanghai,22E (Omicron),BQ.1.14,22E,Omicron
hCoV-19/Shanghai/SJTU-236220/2022|EPI_ISL_16327568|2022-12-10,2022-12-10,EPI_ISL_16327568,Shanghai,22E (Omicron),BQ.1.1.18,22E,Omicron
hCoV-19/Shanghai/SJTU-236221/2022|EPI_ISL_16327569|2022-12-08,2022-12-08,EPI_ISL_16327569,Shanghai,22B (Omicron),BA.5.2.1,22B,Omicron
hCoV-19/Shanghai/SJTU-236230/2022|EPI_ISL_16327570|2022-12-07,2022-12-07,EPI_ISL_16327570,Shanghai,22D (Omicron),CH.1.1.1,22D,Omicron
hCoV-19/Shanghai/SJTU-236323-2/2022|EPI_ISL_16327571|2022-12-12,2022-12-12,EPI_ISL_16327571,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-236325/2022|EPI_ISL_16327572|2022-12-19,2022-12-19,EPI_ISL_16327572,Shanghai,22B (Omicron),BA.5.2.6,22B,Omicron
hCoV-19/Shanghai/SJTU-236326/2022|EPI_ISL_16327573|2022-12-08,2022-12-08,EPI_ISL_16327573,Shanghai,22B (Omicron),BF.7,22B,Omicron
hCoV-19/Shanghai/SJTU-236349/2022|EPI_ISL_16327574|2022-12-10,2022-12-10,EPI_ISL_16327574,Shanghai,22B (Omicron),BF.7.8,22B,Omicron
hCoV-19/Shanghai/SJTU-236353/2022|EPI_ISL_16327575|2022-12-11,2022-12-11,EPI_ISL_16327575,Shanghai,22B (Omicron),BA.5.2.23,22B,Omicron
hCoV-19/Shanghai/SJTU-236360/2022|EPI_ISL_16327576|2022-12-11,2022-12-11,EPI_ISL_16327576,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236444/2022|EPI_ISL_16327577|2022-12-14,2022-12-14,EPI_ISL_16327577,Shanghai,22E (Omicron),BQ.1.1.10,22E,Omicron
hCoV-19/Shanghai/SJTU-236448/2022|EPI_ISL_16327578|2022-12-09,2022-12-09,EPI_ISL_16327578,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236453/2022|EPI_ISL_16327579|2022-12-10,2022-12-10,EPI_ISL_16327579,Shanghai,22B (Omicron),BA.5.2.1,22B,Omicron
hCoV-19/Shanghai/SJTU-236468/2022|EPI_ISL_16327580|2022-12-12,2022-12-12,EPI_ISL_16327580,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-236470/2022|EPI_ISL_16327581|2022-12-14,2022-12-14,EPI_ISL_16327581,Shanghai,22B (Omicron),BF.7.12,22B,Omicron
hCoV-19/Shanghai/SJTU-236472/2022|EPI_ISL_16327582|2022-12-13,2022-12-13,EPI_ISL_16327582,Shanghai,21L (Omicron),CM.3,21L,Omicron
hCoV-19/Shanghai/SJTU-236476/2022|EPI_ISL_16327583|2022-12-10,2022-12-10,EPI_ISL_16327583,Shanghai,22E (Omicron),BQ.1.1.3,22E,Omicron
hCoV-19/Shanghai/SJTU-236564/2022|EPI_ISL_16327584|2022-12-12,2022-12-12,EPI_ISL_16327584,Shanghai,22B (Omicron),BF.27,22B,Omicron
hCoV-19/Shanghai/SJTU-236582/2022|EPI_ISL_16327585|2022-12-16,2022-12-16,EPI_ISL_16327585,Shanghai,22B (Omicron),BF.7,22B,Omicron
hCoV-19/Shanghai/SJTU-236583/2022|EPI_ISL_16327586|2022-12-13,2022-12-13,EPI_ISL_16327586,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236585/2022|EPI_ISL_16327587|2022-12-17,2022-12-17,EPI_ISL_16327587,Shanghai,22B (Omicron),BA.5.2.35,22B,Omicron
hCoV-19/Shanghai/SJTU-236590/2022|EPI_ISL_16327588|2022-12-17,2022-12-17,EPI_ISL_16327588,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236591/2022|EPI_ISL_16327589|2022-12-12,2022-12-12,EPI_ISL_16327589,Shanghai,22B (Omicron),BF.7.4,22B,Omicron
hCoV-19/Shanghai/SJTU-236592/2022|EPI_ISL_16327590|2022-12-12,2022-12-12,EPI_ISL_16327590,Shanghai,22D (Omicron),CH.1.1,22D,Omicron
hCoV-19/Shanghai/SJTU-236595/2022|EPI_ISL_16327591|2022-12-10,2022-12-10,EPI_ISL_16327591,Shanghai,22B (Omicron),BA.5.9,22B,Omicron
hCoV-19/Shanghai/SJTU-236596/2022|EPI_ISL_16327592|2022-12-10,2022-12-10,EPI_ISL_16327592,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236613/2022|EPI_ISL_16327593|2022-12-12,2022-12-12,EPI_ISL_16327593,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-236619/2022|EPI_ISL_16327594|2022-12-11,2022-12-11,EPI_ISL_16327594,Shanghai,22D (Omicron),CH.1.1,22D,Omicron
hCoV-19/Shanghai/SJTU-236621/2022|EPI_ISL_16327595|2022-12-12,2022-12-12,EPI_ISL_16327595,Shanghai,22D (Omicron),CH.1.1.1,22D,Omicron
hCoV-19/Shanghai/SJTU-236682/2022|EPI_ISL_16327596|2022-12-11,2022-12-11,EPI_ISL_16327596,Shanghai,22D (Omicron),BN.1.3.1,22D,Omicron
hCoV-19/Shanghai/SJTU-236690/2022|EPI_ISL_16327597|2022-12-11,2022-12-11,EPI_ISL_16327597,Shanghai,22E (Omicron),BQ.1.1.3,22E,Omicron
hCoV-19/Shanghai/SJTU-236700/2022|EPI_ISL_16327598|2022-12-17,2022-12-17,EPI_ISL_16327598,Shanghai,22D (Omicron),CH.1.1.1,22D,Omicron
hCoV-19/Shanghai/SJTU-236706/2022|EPI_ISL_16327599|2022-12-13,2022-12-13,EPI_ISL_16327599,Shanghai,22E (Omicron),BQ.1.5,22E,Omicron
hCoV-19/Shanghai/SJTU-236707/2022|EPI_ISL_16327600|2022-12-15,2022-12-15,EPI_ISL_16327600,Shanghai,22F (Omicron),XBB.1.5,22F,Omicron
hCoV-19/Shanghai/SJTU-236719/2022|EPI_ISL_16327601|2022-12-15,2022-12-15,EPI_ISL_16327601,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-236720/2022|EPI_ISL_16327602|2022-12-12,2022-12-12,EPI_ISL_16327602,Shanghai,22B (Omicron),BF.7.6,22B,Omicron
hCoV-19/Shanghai/SJTU-236723/2022|EPI_ISL_16327603|2022-12-12,2022-12-12,EPI_ISL_16327603,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-236733/2022|EPI_ISL_16327604|2022-12-11,2022-12-11,EPI_ISL_16327604,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236738/2022|EPI_ISL_16327605|2022-12-22,2022-12-22,EPI_ISL_16327605,Shanghai,22F (Omicron),XBB,22F,Omicron
hCoV-19/Shanghai/SJTU-236739/2022|EPI_ISL_16327606|2022-12-11,2022-12-11,EPI_ISL_16327606,Shanghai,22B (Omicron),BF.7.6,22B,Omicron
hCoV-19/Shanghai/SJTU-236740/2022|EPI_ISL_16327607|2022-12-13,2022-12-13,EPI_ISL_16327607,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236743/2022|EPI_ISL_16327608|2022-12-14,2022-12-14,EPI_ISL_16327608,Shanghai,22E (Omicron),BQ.1.28,22E,Omicron
hCoV-19/Shanghai/SJTU-236749/2022|EPI_ISL_16327609|2022-12-18,2022-12-18,EPI_ISL_16327609,Shanghai,22F (Omicron),XBB.1,22F,Omicron
hCoV-19/Shanghai/SJTU-236752/2022|EPI_ISL_16327610|2022-12-15,2022-12-15,EPI_ISL_16327610,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236755/2022|EPI_ISL_16327611|2022-12-14,2022-12-14,EPI_ISL_16327611,Shanghai,22E (Omicron),BQ.1.1.18,22E,Omicron
hCoV-19/Shanghai/SJTU-236760/2022|EPI_ISL_16327612|2022-12-15,2022-12-15,EPI_ISL_16327612,Shanghai,22B (Omicron),BF.7,22B,Omicron
hCoV-19/Shanghai/SJTU-236770/2022|EPI_ISL_16327613|2022-12-17,2022-12-17,EPI_ISL_16327613,Shanghai,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Shanghai/SJTU-236853/2022|EPI_ISL_16327614|2022-12-14,2022-12-14,EPI_ISL_16327614,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-236854/2022|EPI_ISL_16327615|2022-12-13,2022-12-13,EPI_ISL_16327615,Shanghai,22B (Omicron),BA.5.1,22B,Omicron
hCoV-19/Shanghai/SJTU-236876/2022|EPI_ISL_16327616|2022-12-13,2022-12-13,EPI_ISL_16327616,Shanghai,22F (Omicron),XBB,22F,Omicron
hCoV-19/Shanghai/SJTU-236879/2022|EPI_ISL_16327617|2022-12-08,2022-12-08,EPI_ISL_16327617,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-236881/2022|EPI_ISL_16327618|2022-12-22,2022-12-22,EPI_ISL_16327618,Shanghai,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Shanghai/SJTU-236882/2022|EPI_ISL_16327619|2022-12-16,2022-12-16,EPI_ISL_16327619,Shanghai,22B (Omicron),BA.5,22B,Omicron
hCoV-19/Shanghai/SJTU-236884/2022|EPI_ISL_16327620|2022-12-13,2022-12-13,EPI_ISL_16327620,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-236886/2022|EPI_ISL_16327621|2022-12-15,2022-12-15,EPI_ISL_16327621,Shanghai,22D (Omicron),BN.1.3.1,22D,Omicron
hCoV-19/Shanghai/SJTU-236889/2022|EPI_ISL_16327622|2022-12-15,2022-12-15,EPI_ISL_16327622,Shanghai,22E (Omicron),BQ.1.22,22E,Omicron
hCoV-19/Shanghai/SJTU-236890/2022|EPI_ISL_16327623|2022-12-17,2022-12-17,EPI_ISL_16327623,Shanghai,22B (Omicron),BA.5.2.1,22B,Omicron
hCoV-19/Shanghai/SJTU-236892/2022|EPI_ISL_16327624|2022-12-16,2022-12-16,EPI_ISL_16327624,Shanghai,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236900/2022|EPI_ISL_16327625|2022-12-15,2022-12-15,EPI_ISL_16327625,Shanghai,22D (Omicron),BR.2.1,22D,Omicron
hCoV-19/Shanghai/SJTU-236904/2022|EPI_ISL_16327626|2022-12-10,2022-12-10,EPI_ISL_16327626,Shanghai,22B (Omicron),BE.9,22B,Omicron
hCoV-19/Shanghai/SJTU-236907/2022|EPI_ISL_16327627|2022-12-15,2022-12-15,EPI_ISL_16327627,Shanghai,22B (Omicron),BF.11,22B,Omicron
hCoV-19/Shanghai/SJTU-236909/2022|EPI_ISL_16327628|2022-12-14,2022-12-14,EPI_ISL_16327628,Shanghai,22B (Omicron),BF.11,22B,Omicron
hCoV-19/Shanghai/SJTU-236910/2022|EPI_ISL_16327629|2022-12-13,2022-12-13,EPI_ISL_16327629,Shanghai,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Shanghai/SJTU-236912/2022|EPI_ISL_16327630|2022-12-10,2022-12-10,EPI_ISL_16327630,Shanghai,22E (Omicron),BQ.1.1,22E,Omicron
hCoV-19/Shanghai/SJTU-236913/2022|EPI_ISL_16327631|2022-12-09,2022-12-09,EPI_ISL_16327631,Shanghai,22F (Omicron),XBB.1.5,22F,Omicron
hCoV-19/Shanghai/SJTU-236922/2022|EPI_ISL_16327632|2022-12-18,2022-12-18,EPI_ISL_16327632,Shanghai,22D (Omicron),BN.1.2,22D,Omicron
hCoV-19/Shanghai/SJTU-236950-2/2022|EPI_ISL_16327633|2022-12-19,2022-12-19,EPI_ISL_16327633,Shanghai,22D (Omicron),CH.1.1,22D,Omicron
hCoV-19/Shanghai/SJTU-237018/2022|EPI_ISL_16327634|2022-12-17,2022-12-17,EPI_ISL_16327634,Shanghai,22D (Omicron),BN.1.2,22D,Omicron
hCoV-19/Shanghai/SJTU-237024/2022|EPI_ISL_16327635|2022-12-15,2022-12-15,EPI_ISL_16327635,Shanghai,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Shanghai/SJTU-237068/2022|EPI_ISL_16327636|2022-12-16,2022-12-16,EPI_ISL_16327636,Shanghai,22D (Omicron),CH.1.1,22D,Omicron
hCoV-19/Shanghai/SJTU-237069/2022|EPI_ISL_16327637|2022-12-16,2022-12-16,EPI_ISL_16327637,Shanghai,22E (Omicron),BQ.1.8,22E,Omicron
